latitude,longitude,city,iyear,attacktype1_txt,nkill
6.520917,3.379534,Lagos,2000,Facility/Infrastructure Attack,0.0
4.827794,7.053577,Port Harcourt,2000,Hostage Taking (Kidnapping),0.0
5.52372,5.753167,Warri,2000,Hostage Taking (Kidnapping),0.0
5.60865,5.195451,Escravos,2000,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2000,Hostage Taking (Kidnapping),0.0
4.787538,6.083439,Not Specified,2001,Bombing/Explosion,0.0
4.42852,7.176234,Finima,2001,Hostage Taking (Kidnapping),0.0
6.599187,3.50103,Ikorodu,2001,Facility/Infrastructure Attack,0.0
6.335508,7.411028,Abia,2001,Armed Assault,2.0
7.386749,3.935909,Ibadan,2001,Assassination,1.0
7.722279,10.052053,Donga,2002,Armed Assault,8.0
7.238744,3.035081,Ayetoro,2002,Assassination,2.0
11.974328,8.50026,Kano,2002,Assassination,1.0
9.103389,9.748799,Namaran,2002,Armed Assault,3.0
8.500509,4.551716,Ilorin,2002,Bombing/Explosion,0.0
9.933381,8.885243,Jos,2002,Armed Assault,14.0
6.520917,3.379534,Lagos,2003,Bombing/Explosion,20.0
5.486571,7.03632,Owerri,2003,Assassination,1.0
5.52372,5.753167,Warri,2003,Bombing/Explosion,0.0
5.52372,5.753167,Warri,2003,Armed Assault,6.0
0.0,0.0,Not Specified,2003,Hostage Taking (Barricade Incident),0.0
5.51737,5.752496,Warri,2003,Bombing/Explosion,0.0
5.52372,5.753167,Warri,2003,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2003,Hostage Taking (Kidnapping),1.0
5.52372,5.753167,Warri,2003,Hostage Taking (Kidnapping),0.0
9.066667,7.483333,Abuja,2004,Assassination,1.0
4.814899,7.051907,Port Harcourt,2004,Armed Assault,8.0
5.52372,5.753167,Warri,2004,Armed Assault,18.0
7.78811,6.729729,Lokoja,2004,Assassination,1.0
5.52372,5.753167,Warri,2004,Armed Assault,10.0
12.202254,14.459066,Kala-Balge,2004,Armed Assault,3.0
6.152044,5.648732,Iyanomo,2005,Armed Assault,0.0
10.219009,9.388505,Nabordo,2005,Armed Assault,1.0
13.05702,5.245744,Sokoto,2005,Armed Assault,2.0
5.52372,5.753167,Warri,2005,Hostage Taking (Kidnapping),0.0
4.867777,5.898714,Not Specified,2005,Hostage Taking (Kidnapping),0.0
4.561389,6.751944,Akututuru district,2005,Facility/Infrastructure Attack,0.0
4.858077,6.920913,Agba Okwan Asarama,2005,Bombing/Explosion,11.0
6.61451,5.985902,Ehor,2005,Bombing/Explosion,5.0
5.680984,5.76371,Adeje,2005,Bombing/Explosion,0.0
0.0,0.0,Not Specified,2006,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2006,Armed Assault,9.0
11.974328,8.50026,Kano,2006,Facility/Infrastructure Attack,0.0
4.815554,7.049844,Port Harcourt,2006,Armed Assault,0.0
4.867777,5.898714,Not Specified,2006,Facility/Infrastructure Attack,0.0
4.815554,7.049844,Port Harcourt,2006,Bombing/Explosion,2.0
4.815554,7.049844,Port Harcourt,2006,Armed Assault,1.0
4.78482,7.00545,Port Harcourt,2006,Hostage Taking (Kidnapping),0.0
6.418291,3.165647,Atlas Creek Island,2006,Bombing/Explosion,200.0
4.775278,7.004167,Port Harcourt,2006,Armed Assault,4.0
5.528666,5.756006,Warri district,2006,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2006,Hostage Taking (Kidnapping),6.0
6.166573,6.78371,Onitsha,2006,Unarmed Assault,0.0
10.054471,8.799071,Bassa,2006,Assassination,1.0
4.335226,5.985511,Sengana,2006,Hostage Taking (Kidnapping),0.0
5.012682,6.297357,Gbaran-Ubie,2006,Hostage Taking (Kidnapping),0.0
4.335118,5.985439,Sengana,2006,Hostage Taking (Kidnapping),0.0
6.45,3.433333,Lagos,2006,Assassination,1.0
4.815554,7.049844,Port Harcourt,2006,Hostage Taking (Kidnapping),0.0
7.623056,5.388611,Ijan Ekiti,2006,Assassination,1.0
4.815554,7.049844,Port Harcourt,2006,Facility/Infrastructure Attack,1.0
4.815554,7.049844,Port Harcourt,2006,Hostage Taking (Kidnapping),1.0
4.858077,6.920913,Not Specified,2006,Armed Assault,14.0
4.649885,7.933103,Eket,2006,Armed Assault,2.0
0.0,0.0,Not Specified,2006,Hostage Taking (Kidnapping),0.0
4.921162,6.274773,Yenagoa,2006,Hostage Taking (Kidnapping),0.0
4.867777,5.898714,Not Specified,2006,Assassination,2.0
0.0,0.0,Not Specified,2006,Hostage Taking (Barricade Incident),4.0
5.096389,8.119167,Okono,2006,Hostage Taking (Barricade Incident),1.0
4.315,6.241667,Brass,2006,Facility/Infrastructure Attack,1.0
4.815554,7.049844,Port Harcourt,2006,Bombing/Explosion,0.0
0.0,0.0,Not Specified,2006,Facility/Infrastructure Attack,0.0
4.867777,5.898714,Not Specified,2006,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2006,Bombing/Explosion,0.0
5.251111,6.612778,Obagi,2006,Armed Assault,3.0
0.0,0.0,Not Specified,2006,Bombing/Explosion,0.0
4.78482,7.00545,Port Harcourt,2006,Bombing/Explosion,0.0
4.881111,6.859444,Rumauakunde Emouha,2007,Hostage Taking (Kidnapping),0.0
4.92315,6.26093,Yenagoa district,2007,Hostage Taking (Kidnapping),0.0
4.573056,6.745556,Ekulama,2007,Armed Assault,12.0
5.532462,5.898714,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
5.166667,6.2,Sagbama,2007,Hostage Taking (Kidnapping),1.0
5.426585,7.204019,Owerri,2007,Hostage Taking (Kidnapping),0.0
4.78482,7.00545,Port Hartcourt,2007,Hostage Taking (Kidnapping),0.0
4.827404,7.015945,Port Harcourt,2007,Armed Assault,2.0
4.827404,7.015945,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
4.858077,6.920913,Not Specified,2007,Armed Assault,1.0
4.858077,6.920913,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.858077,6.920913,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
8.496623,4.548111,Ilorin,2007,Assassination,0.0
0.0,0.0,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.8678,5.898714,Not Specified,2007,Hostage Taking (Kidnapping),0.0
11.974328,8.50026,Kano,2007,Facility/Infrastructure Attack,0.0
4.815148,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
11.974328,8.50026,Kano,2007,Armed Assault,2.0
4.837155,7.070332,Port Harcourt,2007,Armed Assault,7.0
11.974328,8.50026,Kano,2007,Armed Assault,12.0
4.867777,5.898714,Not Specified,2007,Armed Assault,0.0
4.815554,7.049844,Port Harcourt,2007,Armed Assault,7.0
0.0,0.0,Not Specified,2007,Armed Assault,1.0
4.858077,6.920913,Not Specified,2007,Armed Assault,0.0
4.867777,5.898714,Not Specified,2007,Bombing/Explosion,0.0
5.532462,5.898714,Not Specified,2007,Bombing/Explosion,0.0
5.613867,5.18708,Escravos,2007,Hostage Taking (Kidnapping),0.0
4.783418,6.313182,Otuaka,2007,Bombing/Explosion,0.0
4.787177,7.12049,Eleme,2007,Hostage Taking (Kidnapping),1.0
5.52372,5.753167,Warri,2007,Hostage Taking (Kidnapping),0.0
4.335191,5.986015,Sengana,2007,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),2.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
4.573867,7.578898,Ikot Abasi,2007,Hostage Taking (Kidnapping),1.0
4.435445,6.321268,Nembe district,2007,Bombing/Explosion,0.0
4.8678,5.898714,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.8678,5.898714,Not Specified,2007,Hostage Taking (Kidnapping),0.0
5.532462,5.898714,Not Specified,2007,Hostage Taking (Kidnapping),0.0
4.825,5.966667,Ogabainbiri,2007,Hostage Taking (Barricade Incident),10.0
0.0,0.0,Not Specified,2007,Hostage Taking (Kidnapping),0.0
7.396389,3.916667,Ibadan,2007,Assassination,0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
4.95,8.325,Calabar district,2007,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2007,Hostage Taking (Kidnapping),0.0
6.443901,3.475084,Lekki,2007,Assassination,0.0
4.815554,7.049844,Port Harcourt,2007,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2007,Armed Assault,14.0
13.05702,5.245744,Sokoto,2007,Armed Assault,1.0
0.0,0.0,Not Specified,2007,Hostage Taking (Kidnapping),1.0
4.858077,6.920913,Not Specified,2007,Armed Assault,1.0
6.895929,4.893563,Riverine,2007,Hostage Taking (Kidnapping),0.0
5.485081,7.035,Owerri,2007,Assassination,0.0
0.0,0.0,Not Specified,2007,Facility/Infrastructure Attack,0.0
4.593448,7.960961,Ibeno,2007,Facility/Infrastructure Attack,1.0
5.15866,5.92234,Bomadi,2007,Armed Assault,1.0
0.0,0.0,Not Specified,2007,Facility/Infrastructure Attack,0.0
4.434049,7.17049,Bonny,2007,Armed Assault,3.0
5.532462,5.898714,Not Specified,2007,Armed Assault,1.0
4.815554,7.049844,Port Harcourt,2008,Armed Assault,18.0
5.248889,6.655556,Ogbogwu,2008,Hostage Taking (Kidnapping),0.0
5.35052,5.506589,Beniboye,2008,Bombing/Explosion,0.0
5.35052,5.506589,Buruto,2008,Bombing/Explosion,0.0
4.434049,7.17049,Bonny,2008,Facility/Infrastructure Attack,0.0
4.749465,6.853887,Sand fill,2008,Bombing/Explosion,1.0
4.739309,7.000708,Port Harcourt,2008,Armed Assault,0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Bombing/Explosion,4.0
6.19778,6.728715,Asaba,2008,Unarmed Assault,0.0
5.882222,5.276667,Warri North district,2008,Armed Assault,0.0
4.858077,6.920913,Not Specified,2008,Bombing/Explosion,0.0
4.867777,5.898714,Not Specified,2008,Bombing/Explosion,0.0
5.485081,7.035,Owerri,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Hijacking,0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
5.119071,6.902132,Ubima,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Armed Assault,2.0
4.74,7.083,Okrika,2008,Armed Assault,0.0
4.858077,6.920913,Awoba,2008,Bombing/Explosion,11.0
5.52372,5.753167,Warri,2008,Unknown,0.0
5.116561,7.367093,Aba,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Armed Assault,1.0
0.0,0.0,Not Specified,2008,Armed Assault,9.0
4.511389,7.54,Opobo,2008,Hostage Taking (Kidnapping),1.0
4.434049,7.17049,Bonny,2008,Facility/Infrastructure Attack,0.0
4.434049,7.17049,Bonny,2008,Bombing/Explosion,0.0
6.54381,5.898714,Not Specified,2008,Bombing/Explosion,0.0
0.0,0.0,Not Specified,2008,Facility/Infrastructure Attack,0.0
0.0,0.0,Not Specified,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Bombing/Explosion,0.0
5.613867,5.18708,Escravos,2008,Bombing/Explosion,0.0
5.613519,5.186918,Escravos,2008,Bombing/Explosion,0.0
6.524379,3.379206,Lagos,2008,Armed Assault,4.0
7.729979,8.536277,Makurdi,2008,Armed Assault,1.0
6.369694,4.784509,Igbokoda,2008,Armed Assault,0.0
6.332763,8.099836,Abakaliki,2008,Armed Assault,0.0
4.556138,5.91998,Tebidaba,2008,Bombing/Explosion,0.0
5.532462,5.898714,Boji Boji,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,2008,Hostage Taking (Kidnapping),0.0
4.343656,6.646386,Kula,2008,Bombing/Explosion,0.0
4.815833,6.956667,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
4.723816,7.151618,Onne,2008,Hostage Taking (Kidnapping),0.0
6.259025,5.000046,Ese Odo district,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Bombing/Explosion,0.0
10.249722,13.021111,Kalaa,2008,Armed Assault,0.0
4.434049,7.17049,Bonny,2008,Hijacking,0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Bombing/Explosion,1.0
4.815554,7.049844,Port Harcourt,2008,Bombing/Explosion,0.0
4.733262,6.866619,Bugama,2008,Bombing/Explosion,0.0
5.485081,7.035,Owerri,2008,Armed Assault,0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
5.038019,7.912421,Uyo,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
6.171389,7.005,Enugu Ukwu,2008,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),1.0
4.683333,6.683333,Soku,2008,Facility/Infrastructure Attack,8.0
4.92315,6.26093,Yenagoa,2008,Facility/Infrastructure Attack,0.0
7.396389,3.916667,Ibadan,2008,Armed Assault,1.0
5.613519,5.186918,Escravos,2008,Armed Assault,0.0
4.511389,7.54,Opobo,2008,Hostage Taking (Kidnapping),2.0
4.815554,7.049844,Port Harcourt,2008,Hostage Taking (Kidnapping),0.0
6.5,7.510333,Enugu,2008,Assassination,1.0
6.5,7.510333,Enugu,2008,Unknown,1.0
4.649885,7.933103,Eket,2008,Armed Assault,1.0
4.448889,7.083889,Bonny district,2008,Armed Assault,2.0
7.729979,8.536277,Makurdi,2008,Armed Assault,2.0
4.858077,6.920913,Not Specified,2008,Hostage Taking (Kidnapping),0.0
5.382222,5.834444,Oginbo,2008,Hostage Taking (Kidnapping),0.0
4.573867,7.578898,Ikot Abasi,2008,Hostage Taking (Kidnapping),0.0
10.516667,7.433333,Not Specified,2009,Facility/Infrastructure Attack,0.0
4.434049,7.17049,Bonny,2009,Hostage Taking (Kidnapping),1.0
4.434049,7.17049,Bonny,2009,Bombing/Explosion,0.0
5.52372,5.753167,Warri,2009,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2009,Hostage Taking (Kidnapping),1.0
5.038019,7.912421,Uyo,2009,Hostage Taking (Kidnapping),0.0
5.445781,5.878609,Utorogu,2009,Armed Assault,3.0
4.649885,7.933103,Eket,2009,Facility/Infrastructure Attack,0.0
4.53152,6.405074,Nembe,2009,Facility/Infrastructure Attack,0.0
4.556138,5.91998,Tebidaba,2009,Armed Assault,0.0
5.613519,5.186918,Escravos,2009,Bombing/Explosion,0.0
4.53152,6.405074,Nembe,2009,Armed Assault,0.0
4.92315,6.26093,Yenagoa,2009,Unknown,0.0
5.44,5.410278,Chanomi Creek,2009,Armed Assault,0.0
5.613519,5.186918,Escravos,2009,Bombing/Explosion,0.0
5.528666,5.756006,Warri district,2009,Bombing/Explosion,0.0
6.336345,5.62175,Benin City,2009,Hostage Taking (Kidnapping),0.0
7.337276,3.949587,Ibandan,2009,Armed Assault,2.0
5.064403,6.125295,Agoro,2009,Bombing/Explosion,0.0
4.53152,6.405074,Nembe,2009,Bombing/Explosion,0.0
4.858077,6.920913,Not Specified,2009,Bombing/Explosion,0.0
4.858077,6.920913,Not Specified,2009,Bombing/Explosion,0.0
5.360375,5.346581,Forcados,2009,Bombing/Explosion,0.0
5.613519,5.186918,Escravos district,2009,Armed Assault,0.0
4.626042,7.68269,Okon,2009,Bombing/Explosion,0.0
4.434049,7.17049,Bonny,2009,Unknown,0.0
4.53152,6.405074,Nembe district,2009,Bombing/Explosion,0.0
4.53152,6.405074,Nembe,2009,Bombing/Explosion,0.0
6.441158,3.417977,Lagos,2009,Bombing/Explosion,5.0
4.858077,6.920913,Not Specified,2009,Bombing/Explosion,0.0
12.359468,14.210929,Gambaru,2009,Armed Assault,0.0
11.840929,13.141459,Maiduguri,2009,Unknown,77.0
11.840929,13.141459,Maiduguri,2009,Facility/Infrastructure Attack,0.0
11.840929,13.141459,Maiduguri,2009,Facility/Infrastructure Attack,0.0
11.840929,13.141459,Maiduguri,2009,Facility/Infrastructure Attack,0.0
11.840929,13.141459,Maiduguri,2009,Unknown,76.0
11.840929,13.141459,Maiduguri,2009,Unknown,76.0
11.840929,13.141459,Maiduguri,2009,Unknown,75.0
12.359468,14.210929,Gambaru,2009,Armed Assault,0.0
12.359468,14.210929,Gambaru,2009,Armed Assault,0.0
5.454138,5.870299,Utorogu,2009,Bombing/Explosion,0.0
5.45652,5.88136,Iwhrekan,2009,Bombing/Explosion,0.0
6.674881,3.198053,Ota,2010,Assassination,1.0
4.723092,6.778945,Abonema,2010,Unknown,0.0
4.723092,6.778945,Abonema,2010,Unknown,0.0
6.524379,3.379206,Lagos,2010,Armed Assault,0.0
5.630493,6.033535,Kokori,2010,Bombing/Explosion,0.0
4.723092,6.778945,Abonema,2010,Bombing/Explosion,0.0
5.52372,5.753167,Warri,2010,Bombing/Explosion,3.0
4.733262,6.866619,Bugama,2010,Bombing/Explosion,0.0
6.176667,6.628333,Igbuzor,2010,Hostage Taking (Kidnapping),0.0
6.336345,5.62175,Benin City,2010,Hostage Taking (Kidnapping),0.0
4.815554,7.049844,Port Harcourt,2010,Hostage Taking (Kidnapping),0.0
9.933333,8.883333,Jos district,2010,Facility/Infrastructure Attack,0.0
9.933333,8.883333,Jos,2010,Bombing/Explosion,0.0
5.430892,7.524724,Not Specified,2010,Hostage Taking (Kidnapping),0.0
6.336345,5.62175,Benin City,2010,Hostage Taking (Kidnapping),0.0
4.92315,6.26093,Yenagoa,2010,Bombing/Explosion,0.0
5.52372,5.753167,Warri,2010,Bombing/Explosion,0.0
4.824167,7.0425,Port Harcourt,2010,Hostage Taking (Kidnapping),2.0
4.92315,6.26093,Yenagoa,2010,Bombing/Explosion,0.0
4.92315,6.26093,Yenagoa,2010,Bombing/Explosion,0.0
4.946582,7.084806,Igbo-Etche,2010,Armed Assault,2.0
9.775797,8.586954,Kizachi Dawai Chawai,2010,Armed Assault,7.0
4.92315,6.26093,Yenagoa,2010,Assassination,1.0
5.116561,7.367093,Aba,2010,Armed Assault,1.0
6.336345,5.62175,Benin City,2010,Hostage Taking (Kidnapping),0.0
11.526846,13.69271,Bama,2010,Armed Assault,1.0
11.840929,13.141459,Maiduguri,2010,Assassination,1.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,0.0
4.969214,7.018932,Omumah,2010,Hostage Taking (Kidnapping),0.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,2.0
9.066667,7.483333,Abuja,2010,Bombing/Explosion,7.0
9.066667,7.483333,Abuja,2010,Bombing/Explosion,4.0
11.840929,13.141459,Maiduguri,2010,Assassination,1.0
11.840929,13.141459,Maiduguri,2010,Assassination,1.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,2.0
4.649885,7.933103,Eket,2010,Armed Assault,2.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,1.0
11.627401,9.959413,Ganuwa,2010,Unknown,1.0
9.933333,8.883333,Jos district,2010,Unknown,6.0
4.867777,5.898714,Not Specified,2010,Bombing/Explosion,0.0
8.496623,4.548111,Ilorin,2010,Hostage Taking (Kidnapping),0.0
6.449529,3.366779,Lagos,2010,Unknown,0.0
4.929987,7.87216,Not Specified,2010,Hostage Taking (Kidnapping),0.0
5.076111,6.263889,Opokuma,2010,Assassination,0.0
4.929987,7.87216,Not Specified,2010,Hostage Taking (Kidnapping),0.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,3.0
5.52372,5.753167,Warri,2010,Unknown,0.0
4.315,6.241667,Brass,2010,Armed Assault,1.0
11.509748,12.978912,Not Specified,2010,Armed Assault,1.0
5.430892,7.524724,Not Specified,2010,Armed Assault,1.0
9.933333,8.883333,Jos district,2010,Armed Assault,7.0
5.532462,5.898714,Not Specified,2010,Bombing/Explosion,0.0
5.532462,5.898714,Not Specified,2010,Bombing/Explosion,0.0
5.532462,5.898714,Not Specified,2010,Bombing/Explosion,0.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,5.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,1.0
11.840929,13.141459,Maiduguri,2010,Facility/Infrastructure Attack,0.0
9.933333,8.883333,Jos,2010,Bombing/Explosion,38.0
9.933333,8.883333,Jos,2010,Bombing/Explosion,0.0
11.840929,13.141459,Maiduguri,2010,Armed Assault,3.0
4.92315,6.26093,Yenagoa,2010,Bombing/Explosion,0.0
9.051944,7.53,Abuja,2010,Bombing/Explosion,11.0
8.980827,7.562985,Jikoyi,2010,Bombing/Explosion,0.0
11.840929,13.141459,Maiduguri,2011,Facility/Infrastructure Attack,0.0
11.840929,13.141459,Maiduguri,2011,Armed Assault,1.0
5.5,5.983333,Ughelli,2011,Bombing/Explosion,0.0
5.076111,6.263889,Opokuma,2011,Armed Assault,2.0
10.286653,11.163861,Gombe,2011,Armed Assault,8.0
9.537222,8.8925,Barakin Ladi,2011,Armed Assault,9.0
9.933333,8.883333,Jos district,2011,Armed Assault,18.0
9.933333,8.883333,Jos district,2011,Armed Assault,3.0
9.933333,8.883333,Jos district,2011,Armed Assault,2.0
9.933333,8.883333,Jos district,2011,Armed Assault,13.0
9.933333,8.883333,Jos district,2011,Facility/Infrastructure Attack,0.0
4.92315,6.26093,Yenagoa,2011,Bombing/Explosion,0.0
6.320611,7.471835,Ozalla,2011,Bombing/Explosion,0.0
9.873056,8.993611,Farin Lamba,2011,Armed Assault,4.0
9.933333,8.883333,Jos district,2011,Armed Assault,4.0
9.933333,8.883333,Jos district,2011,Facility/Infrastructure Attack,0.0
13.05702,5.245744,Sokoto,2011,Armed Assault,1.0
11.840929,13.141459,Maiduguri,2011,Armed Assault,1.0
11.840929,13.141459,Maiduguri,2011,Armed Assault,7.0
10.315833,9.844167,Bauchi,2011,Bombing/Explosion,0.0
11.840929,13.141459,Maiduguri,2011,Assassination,1.0
